Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
847076,Bayard (historical),Populated Place,Elko County,Nevada,Annie Creek,1988,41.6979633,-115.5100711,None,9/1/1990,null,null,null,null,32007,32
845356,Beatty,Populated Place,Nye County,Nevada,Beatty,1008,36.9085566,-116.7592265,None,12/12/1980,05100,U5,null,null,32023,32
850937,Beaver (historical),Populated Place,Elko County,Nevada,Coal Mine Canyon SE,1615,41.0804746,-115.531454,None,4/1/1990,null,null,null,null,32007,32
855967,Bellehelen (historical),Populated Place,Nye County,Nevada,Bellehelen,1980,38.0682693,-116.4658884,None,12/12/1980,05150,U6,null,null,32023,32
854361,Belleville (historical),Populated Place,Mineral County,Nevada,Belleville,1582,38.219094,-118.179841,None,12/12/1980,null,null,null,null,32021,32
858860,Belmont,Populated Place,Nye County,Nevada,Belmont East,2263,38.5960444,-116.8742436,None,12/12/1980,05200,U6,null,null,32023,32
856191,Beowawe,Populated Place,Eureka County,Nevada,Beowawe,1431,40.5926922,-116.4773071,None,12/12/1980,05300,U6,null,null,32011,32
858871,Berlin,Populated Place,Nye County,Nevada,Ione,2059,38.8818713,-117.607602,None,12/12/1980,05340,U6,null,null,32023,32
854857,Bernice (historical),Populated Place,Churchill County,Nevada,Bernice Canyon,1507,39.7582513,-117.7815104,None,1/1/1991,null,null,null,null,32001,32
856555,Betty O'Neal (historical),Populated Place,Lander County,Nevada,Crippen Canyon,1652,40.4593593,-116.8934301,None,2/1/1991,null,null,null,null,32015,32
846457,Beulah (historical),Populated Place,Washoe County,Nevada,Mosquito Valley,1735,41.8162817,-119.8441071,None,11/1/1990,null,null,null,null,32031,32
855969,Big Trees,Populated Place,Lincoln County,Nevada,Highland Peak,2341,37.9027408,-114.5605517,None,12/12/1980,05380,U6,null,null,32017,32
850880,Birch (historical),Populated Place,Eureka County,Nevada,Diamond Springs,1788,39.9221496,-115.8731132,None,4/1/1990,null,null,null,null,32011,32
849869,Black Forest (historical),Populated Place,Elko County,Nevada,Spruce Mountain,2537,40.5682614,-114.8100337,None,2/1/1990,null,null,null,null,32007,32
858933,Black Horse (historical),Populated Place,White Pine County,Nevada,Sacramento Pass,2129,39.1460556,-114.2822202,None,12/12/1980,05460,U6,null,null,32033,32
2747196,Black Springs,Populated Place,Washoe County,Nevada,Reno,1573,39.6100718,-119.856252,None,3/12/2014,null,null,null,null,32031,32
857908,Blackburn,Populated Place,Eureka County,Nevada,Mineral Hill NW,1617,40.2282556,-116.1678486,None,12/12/1980,05420,U6,null,null,32011,32
855970,Blair,Populated Place,Esmeralda County,Nevada,Silver Peak,1407,37.7929865,-117.6492601,None,12/12/1980,05550,U6,null,null,32009,32
848230,Blair Junction (historical),Populated Place,Esmeralda County,Nevada,Blair Junction,1469,38.0082642,-117.773711,None,2/1/1991,05600,U6,null,null,32009,32
857674,Blanco (historical),Populated Place,Lander County,Nevada,Antler Peak,1884,40.5638002,-117.1301057,None,5/1/1992,null,null,null,null,32015,32
857562,Bley (historical),Populated Place,Mineral County,Nevada,Mount Montgomery,2121,37.9888192,-118.3109528,None,1/1/1991,null,null,null,null,32021,32
855972,Bliss,Populated Place,Humboldt County,Nevada,Golconda Butte,1321,41.0290687,-117.6090145,None,12/12/1980,05650,U6,null,null,32013,32
847248,Blue Diamond,Populated Place,Clark County,Nevada,Blue Diamond,1031,36.0463595,-115.4038924,1/1/1950,12/12/1980,05700,U5,null,null,32003,32
857913,Bolivia (historical),Populated Place,Churchill County,Nevada,Bolivia,1416,39.9924144,-117.9131842,None,12/12/1980,06000,U6,null,null,32001,32
851467,Bonanza Village,Populated Place,Clark County,Nevada,Las Vegas NW,629,36.1830254,-115.1652794,None,6/1/1990,null,null,null,null,32003,32
848231,Bonnie Briar (historical),Populated Place,Pershing County,Nevada,Natchez Pass,1666,40.6890727,-117.8642986,None,2/1/1991,null,null,null,null,32027,32
863886,Bonnie Claire,Populated Place,Nye County,Nevada,Bonnie Claire,1213,37.2265974,-117.1209041,None,5/1/1992,06180,U6,null,null,32023,32
855973,Bonnie Springs,Populated Place,Clark County,Nevada,Blue Diamond,1127,36.0591367,-115.4533388,None,12/12/1980,06260,U6,null,null,32003,32
855974,Borax,Populated Place,Clark County,Nevada,Roach,825,35.7144251,-115.3405488,None,12/12/1980,06340,U6,null,null,32003,32
858975,Border Town,Populated Place,Washoe County,Nevada,Reno NW,1541,39.6757414,-119.9913107,None,12/12/1980,06420,U6,null,null,32031,32
858617,Boulder City,Populated Place,Clark County,Nevada,Boulder City,765,35.9785912,-114.8324851,None,12/12/1980,06500,P1,null,null,32003,32
855975,Boulder Junction,Populated Place,Clark County,Nevada,Las Vegas SW,695,36.0810829,-115.1980542,None,12/12/1980,06700,U6,null,null,32003,32
847899,Bovard (historical),Populated Place,Mineral County,Nevada,Poinsettia Spring,1504,38.7907548,-118.3626282,None,1/1/1991,null,null,null,null,32021,32
846510,Bowlerville (historical),Populated Place,Nye County,Nevada,Mount Schader,1147,36.4488457,-116.0497531,None,10/1/1990,null,null,null,null,32023,32
855976,Boyd,Populated Place,Lincoln County,Nevada,Elgin NE,1166,37.4377432,-114.5672171,None,12/12/1980,06800,U6,null,null,32017,32
855235,Boyer,Populated Place,Churchill County,Nevada,Boyer Ranch,1069,39.9582483,-117.8676265,None,7/1/1991,null,null,null,null,32001,32
855977,Bracken,Populated Place,Clark County,Nevada,Las Vegas SW,665,36.1074712,-115.1911106,None,12/12/1980,06900,U6,null,null,32003,32
862730,Brennen Ranch,Populated Place,Elko County,Nevada,Noon Rock,1811,40.6679828,-115.5481154,None,4/1/1990,null,null,null,null,32007,32
855591,Bridge House,Populated Place,Douglas County,Nevada,Genoa,1419,39.0432416,-119.7812903,None,7/1/1991,null,null,null,null,32005,32
851128,Bristol,Populated Place,Lincoln County,Nevada,Bristol Range SE,2141,38.0799605,-114.6194432,None,5/1/1990,null,null,null,null,32017,32
851115,Bristol Well (historical),Populated Place,Lincoln County,Nevada,Bristol Well,1659,38.1049599,-114.6888905,None,5/1/1990,null,null,null,null,32017,32
857679,Broadway (historical),Populated Place,White Pine County,Nevada,Ferber Peak SE,1659,40.0007708,-114.0488932,None,5/1/1992,null,null,null,null,32033,32
854379,Broken Hills (historical),Populated Place,Mineral County,Nevada,Broken Hills,1637,39.0496472,-118.0103998,None,12/12/1980,null,null,null,null,32021,32
848232,Bronco (historical),Populated Place,Washoe County,Nevada,Mount Rose NW,2290,39.3979642,-119.9782512,None,2/1/1991,null,null,null,null,32031,32
855978,Brown,Populated Place,Lincoln County,Nevada,Acoma,1763,37.6071912,-114.1327583,None,12/12/1980,07700,U6,null,null,32017,32
854815,Browns Station (historical),Populated Place,Pershing County,Nevada,Toulon Peak,1214,40.0171322,-118.6784853,None,12/1/1990,null,null,null,null,32027,32
859033,Brucite,Populated Place,Nye County,Nevada,Gabbs,1563,38.8627023,-117.9020592,None,12/12/1980,07765,U6,null,null,32023,32
858379,Bruno City (historical),Populated Place,Elko County,Nevada,Coon Creek,1895,41.7701837,-115.5675746,None,1/1/1991,null,null,null,null,32007,32
857928,Brunswick (historical),Populated Place,Carson City,Nevada,New Empire,1395,39.1762998,-119.6885112,None,12/12/1980,07830,U6,null,null,32510,32
855979,Buckeye,Populated Place,Douglas County,Nevada,Gardnerville,1465,38.9604633,-119.7243428,None,12/12/1980,07925,U6,null,null,32005,32
846507,Buckhorn,Populated Place,Eureka County,Nevada,Buckhorn Mine,1967,40.1760312,-116.4806351,None,10/1/1990,null,null,null,null,32011,32
845386,Buckingham Camp,Populated Place,Lander County,Nevada,Galena Canyon,1815,40.6129664,-117.0726046,None,12/12/1980,07950,U6,null,null,32015,32
